Date,Open,High,Low,Close,Volume,Adj Close
2008-03-17,40.009998,40.150002,40,40.150002,1600,40.150002
2008-03-18,40.049999,43.200001,40.029999,40.490002,42400,40.490002
2008-03-19,40.240002,40.779999,40.240002,40.720001,127700,40.720001
2008-03-20,40.299999,40.32,40.130001,40.23,64700,40.23
2008-03-24,40.130001,40.130001,40.040001,40.110001,24500,40.110001
2008-03-25,40.18,40.220001,40.110001,40.16,30400,40.16
2008-03-26,40.200001,40.240002,40.200001,40.240002,48400,40.240002
2008-03-27,40.240002,40.330002,40.240002,40.32,56700,40.32
2008-03-28,40.389999,40.389999,40.290001,40.310001,86700,40.310001
2008-03-31,40.200001,40.400002,40.200001,40.389999,85500,40.389999
2008-04-01,40.34,41.18,40.25,40.34,64600,40.34
2008-04-02,40.299999,40.34,40.220001,40.259998,107100,40.259998
2008-04-03,40.299999,40.299999,40.200001,40.220001,61200,40.220001
2008-04-04,40.240002,40.259998,40.189999,40.23,77300,40.23
2008-04-07,40.25,40.310001,40.25,40.290001,97500,40.290001
2008-04-08,40.279999,40.279999,40.220001,40.25,52500,40.25
2008-04-09,40.189999,40.209999,40.130001,40.150002,48900,40.150002
2008-04-10,40.189999,40.220001,40.150002,40.220001,31100,40.220001
2008-04-11,40.139999,40.16,40.080002,40.150002,48600,40.150002
2008-04-14,40.139999,40.290001,40.130001,40.209999,191800,40.209999
2008-04-15,40.220001,40.27,40.169998,40.240002,135500,40.240002
2008-04-16,40.169998,40.169998,40.130001,40.150002,105000,40.150002
2008-04-17,40.110001,40.169998,40.080002,40.119999,145500,40.119999
2008-04-18,40.029999,40.049999,39.900002,39.939999,98300,39.939999
2008-04-21,39.799999,39.880001,39.779999,39.880001,40600,39.880001
2008-04-22,39.900002,39.900002,39.77,39.799999,123800,39.799999
2008-04-23,39.82,39.82,39.73,39.799999,25700,39.799999
2008-04-24,39.709999,39.709999,39.5,39.5,66700,39.5
2008-04-25,39.419998,39.419998,39.310001,39.360001,32800,39.360001
2008-04-28,39.360001,39.439999,39.299999,39.439999,28500,39.439999
2008-04-29,39.540001,39.619999,39.540001,39.619999,38200,39.619999
2008-04-30,39.619999,39.689999,39.610001,39.689999,23800,39.689999
2008-05-01,39.630001,39.66,39.580002,39.619999,23700,39.619999
2008-05-02,39.5,39.52,39.470001,39.52,35100,39.52
2008-05-05,39.580002,39.610001,39.529999,39.610001,21500,39.610001
2008-05-06,39.459999,39.549999,39.450001,39.549999,35000,39.549999
2008-05-07,39.290001,39.299999,39.220001,39.240002,34400,39.240002
2008-05-08,39.200001,39.279999,39.150002,39.279999,13200,39.279999
2008-05-09,39.380001,39.459999,39.32,39.459999,28000,39.459999
2008-05-12,39.330002,39.400002,39.279999,39.400002,10300,39.400002
2008-05-13,39.279999,39.32,39.23,39.32,16500,39.32
2008-05-14,39.27,39.34,39.169998,39.330002,120500,39.330002
2008-05-15,39.200001,39.25,39.189999,39.220001,11600,39.220001
2008-05-16,39.240002,39.349998,39.23,39.34,80900,39.34
2008-05-19,39.389999,39.450001,39.279999,39.290001,20600,39.290001
2008-05-20,39.439999,39.439999,39.349998,39.41,21700,39.41
2008-05-21,39.549999,39.619999,39.549999,39.619999,26600,39.619999
2008-05-22,39.450001,39.580002,39.450001,39.580002,16900,39.580002
2008-05-23,39.779999,39.779999,39.700001,39.779999,32300,39.779999
2008-05-27,39.75,39.75,39.599998,39.650002,25100,39.650002
2008-05-28,39.540001,39.549999,39.34,39.43,71900,39.43
2008-05-29,39.43,39.560001,39.369999,39.369999,39200,39.369999
2008-05-30,39.450001,39.540001,39.450001,39.540001,7700,39.540001
2008-06-02,39.549999,39.639999,39.549999,39.639999,10500,39.639999
2008-06-03,39.700001,39.700001,39.529999,39.529999,9000,39.529999
2008-06-04,39.529999,39.59,39.330002,39.470001,20200,39.470001
2008-06-05,39.34,39.52,39.34,39.490002,8800,39.490002
2008-06-06,39.549999,39.639999,39.549999,39.599998,15800,39.599998
2008-06-09,39.669998,39.669998,39.529999,39.560001,24300,39.560001
2008-06-10,39.400002,39.419998,39.34,39.419998,3900,39.419998
2008-06-11,39.689999,39.689999,39.549999,39.619999,35500,39.619999
