DATE,AMTMNO
2007-09-01,448904
2007-10-01,458514
2007-11-01,470388
2007-12-01,479247
2008-01-01,475044
2008-02-01,469952
2008-03-01,469770
2008-04-01,477149
2008-05-01,481155
2008-06-01,487303
2008-07-01,481997
2008-08-01,466859
2008-09-01,448342
2008-10-01,419252
2008-11-01,387851
2008-12-01,364127
2009-01-01,344445
2009-02-01,339148
2009-03-01,332418
2009-04-01,331256
2009-05-01,341050
2009-06-01,344715
2009-07-01,351517
2009-08-01,356996
2009-09-01,359083
2009-10-01,368385
2009-11-01,371152
2009-12-01,369444
2010-01-01,394012
2010-02-01,389659
2010-03-01,399065
2010-04-01,405759
2010-05-01,401428
2010-06-01,401266
2010-07-01,404480
2010-08-01,409075
2010-09-01,420847
2010-10-01,419109
2010-11-01,425950
2010-12-01,430305
2011-01-01,446610
2011-02-01,436403
2011-03-01,461752
2011-04-01,454688
2011-05-01,458123
2011-06-01,453350
2011-07-01,461697
2011-08-01,467962
2011-09-01,461648
2011-10-01,461331
2011-11-01,471919
2011-12-01,481285
2012-01-01,479760
2012-02-01,480880
2012-03-01,480010
2012-04-01,475238
2012-05-01,470248
2012-06-01,464213
2012-07-01,473925
2012-08-01,457622
2012-09-01,473758
2012-10-01,479359
2012-11-01,477199
2012-12-01,488583
2013-01-01,480266
2013-02-01,497311
2013-03-01,469353
2013-04-01,476207
2013-05-01,489172
2013-06-01,494377
2013-07-01,476550
2013-08-01,480399
2013-09-01,488230
2013-10-01,483415
2013-11-01,496630
2013-12-01,492396
2014-01-01,484601
2014-02-01,493731
2014-03-01,495974
2014-04-01,498468
2014-05-01,491733
2014-06-01,497378
2014-07-01,548071
2014-08-01,494834
2014-09-01,490985
2014-10-01,485565
2014-11-01,478628
2014-12-01,468670
2015-01-01,464488
2015-02-01,459664
2015-03-01,471963
2015-04-01,468959
2015-05-01,460657
2015-06-01,474013
2015-07-01,471392
2015-08-01,460477
2015-09-01,452625
2015-10-01,463278
2015-11-01,459779
2015-12-01,448710
2016-01-01,452786
2016-02-01,444277
2016-03-01,451814
2016-04-01,459849
2016-05-01,454295
2016-06-01,446331
2016-07-01,452391
2016-08-01,453135
