Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,18.10,18.110001,16.23,16.60,20528400,16.60
2016-09-26,18.639999,18.67,17.959999,18.200001,7744700,18.200001
2016-09-19,18.27,19.049999,18.110001,18.68,8372700,18.68
2016-09-12,17.92,18.219999,17.74,17.860001,8263400,17.860001
2016-09-06,18.66,19.120001,18.10,18.110001,11005500,18.110001
2016-08-29,17.68,18.440001,17.639999,18.440001,8747900,18.440001
2016-08-22,18.01,18.120001,17.60,17.719999,10724000,17.719999
2016-08-15,18.77,18.950001,18.33,18.35,9253400,18.35
2016-08-08,18.76,19.32,18.68,18.719999,7469500,18.719999
2016-08-01,19.450001,19.709999,18.709999,18.709999,9732900,18.709999
2016-07-25,18.49,19.40,18.34,19.35,11426500,19.35
2016-07-18,18.93,19.120001,18.360001,18.67,9406400,18.67
2016-07-11,19.25,19.450001,18.969999,19.08,14605600,19.08
2016-07-05,18.870001,19.24,18.50,19.219999,22899400,19.219999
2016-06-27,16.91,18.92,16.780001,18.74,15621800,18.74
2016-06-20,16.51,17.07,16.32,16.889999,8513600,16.889999
2016-06-13,16.530001,16.92,16.299999,16.60,15558700,16.60
2016-06-06,15.63,16.530001,15.54,16.49,9788200,16.49
2016-05-31,15.26,15.64,15.04,15.61,6965400,15.61
2016-05-23,15.52,15.73,15.34,15.39,6670700,15.39
2016-05-16,16.48,16.549999,15.53,15.69,9925400,15.69
2016-05-09,16.25,16.66,16.08,16.280001,8410200,16.280001
2016-05-02,16.940001,16.950001,16.389999,16.629999,9544200,16.629999
2016-04-25,16.200001,17.09,16.10,16.98,12487800,16.98
2016-04-18,15.47,16.51,15.41,16.139999,14744000,16.139999
2016-04-11,14.93,15.58,14.93,15.46,10563600,15.46
2016-04-04,14.33,14.65,14.20,14.62,6869300,14.62
2016-03-28,14.58,14.74,14.09,14.34,7766500,14.34
2016-03-21,15.05,15.20,14.43,14.43,7533900,14.43
2016-03-14,15.03,15.28,14.46,15.03,11184100,15.03
2016-03-07,14.86,14.97,14.47,14.72,8204800,14.72
2016-02-29,14.04,15.04,14.01,14.76,12791300,14.76
2016-02-22,14.34,14.84,13.97,14.02,6850700,14.02
2016-02-16,14.68,14.82,14.50,14.64,6624500,14.64
2016-02-08,14.51,15.20,14.37,14.99,10819700,14.99
2016-02-01,13.64,14.34,13.56,14.34,5776500,14.34
2016-01-25,13.56,13.88,13.50,13.59,4676500,13.59
2016-01-19,13.45,13.66,13.23,13.38,5071400,13.38
2016-01-11,13.39,13.53,13.10,13.24,5723800,13.24
2016-01-04,13.47,13.71,13.19,13.30,5464300,13.30
2015-12-28,13.38,13.40,13.16,13.19,3852800,13.19
2015-12-21,13.59,13.72,13.54,13.69,4517200,13.69
2015-12-14,13.18,13.64,13.04,13.43,7452400,13.43
2015-12-07,13.79,13.81,13.16,13.30,4886400,13.30
2015-11-30,13.45,13.94,13.28,13.87,7624800,13.87
2015-11-23,13.41,13.65,13.36,13.46,4320700,13.46
2015-11-16,13.62,13.75,13.39,13.50,4598800,13.50
2015-11-09,13.97,13.98,13.53,13.59,5387800,13.59
2015-11-02,14.66,14.75,14.04,14.08,4382100,14.08
2015-10-26,15.20,15.60,14.77,14.80,5505700,14.80
2015-10-19,15.22,15.24,14.91,15.12,4369800,15.12
2015-10-12,15.31,15.45,15.08,15.28,4764000,15.28
2015-10-05,14.92,15.38,14.77,15.12,8277800,15.12
2015-09-28,13.95,14.61,13.81,14.55,6118600,14.55
2015-09-21,14.49,14.56,14.07,14.40,4163600,14.40
2015-09-14,13.77,14.62,13.67,14.47,5203400,14.47
2015-09-08,14.07,14.22,13.64,13.95,4072400,13.95
2015-08-31,13.84,14.29,13.76,13.92,4561800,13.92
2015-08-24,14.06,14.46,13.35,13.92,8762700,13.92
2015-08-17,14.69,14.89,14.06,14.61,5537800,14.61
2015-08-10,14.25,14.92,14.23,14.55,6351800,14.55
2015-08-03,14.05,14.35,13.78,14.11,4459700,14.11
2015-07-27,14.00,14.34,13.90,14.08,5351600,14.08
2015-07-20,14.16,14.35,13.73,14.02,6917000,14.02
