Date,Open,High,Low,Close,Volume,Adj Close
2016-10-03,11.04,11.54,10.91,11.33,47506500,11.33
2016-09-26,10.34,11.02,10.08,10.93,59316600,10.93
2016-09-19,10.03,10.61,9.82,10.19,47588600,10.19
2016-09-12,10.40,10.74,9.90,10.00,38918300,10.00
2016-09-06,10.21,11.03,10.16,10.59,36793400,10.59
2016-08-29,10.83,10.97,9.95,10.24,35653200,10.24
2016-08-22,11.10,11.21,10.74,10.95,30254700,10.95
2016-08-15,10.59,11.38,10.56,11.34,37902300,11.34
2016-08-08,10.03,10.50,9.75,10.50,29695100,10.50
2016-08-01,9.62,9.91,9.23,9.86,33156200,9.86
2016-07-25,10.20,10.23,9.55,9.76,26197600,9.76
2016-07-18,10.79,10.88,10.30,10.42,21403500,10.42
2016-07-11,10.91,11.23,10.64,10.99,25379500,10.99
2016-07-05,11.35,11.54,10.71,10.83,26363600,10.83
2016-06-27,11.22,11.96,10.96,11.78,23099800,11.78
2016-06-20,11.82,12.04,11.36,11.40,25137800,11.40
2016-06-13,11.71,11.94,11.11,11.66,24669400,11.66
2016-06-06,12.01,12.45,11.83,11.87,21441400,11.87
2016-05-31,11.98,12.13,11.56,11.82,20993900,11.82
2016-05-23,11.51,12.12,11.49,11.98,18820900,11.98
2016-05-16,11.68,12.00,11.44,11.75,23914400,11.75
2016-05-09,10.86,11.53,10.64,11.37,22342500,11.37
2016-05-02,11.24,11.25,10.63,10.96,26973900,10.96
2016-04-25,10.78,11.50,10.47,11.30,27764900,11.30
2016-04-18,9.84,10.93,9.79,10.76,35216500,10.76
2016-04-11,10.19,10.74,10.13,10.25,39080900,10.25
2016-04-04,9.32,10.11,8.99,10.03,40490700,10.03
2016-03-28,10.01,10.13,9.32,9.33,34427100,9.33
2016-03-21,10.50,10.64,9.74,10.06,38513300,10.06
2016-03-14,9.92,10.80,9.59,10.48,38217900,10.48
2016-03-07,9.68,10.29,9.65,10.19,43603300,10.19
2016-02-29,8.86,9.65,8.78,9.65,46213000,9.65
2016-02-22,8.90,9.16,8.14,8.78,52579000,8.78
2016-02-16,8.49,9.07,8.18,8.55,53044000,8.55
2016-02-08,8.77,8.82,7.67,8.33,64838200,8.33
2016-02-01,9.35,9.65,8.54,8.91,49081200,8.91
2016-01-25,8.94,9.88,8.54,9.65,58342800,9.65
2016-01-19,8.75,9.29,7.92,9.27,73327900,9.27
2016-01-11,9.72,9.76,8.64,8.79,85073900,8.79
2016-01-04,11.26,11.42,9.71,9.80,47636700,9.80
2015-12-28,11.06,11.29,10.82,11.00,24809900,11.00
2015-12-21,10.60,11.35,10.52,11.30,26716700,11.30
2015-12-14,10.97,11.65,10.62,10.66,35720900,10.66
2015-12-07,12.02,12.08,11.00,11.07,41995600,11.07
2015-11-30,13.18,13.23,12.33,12.46,34448900,12.46
2015-11-23,12.84,13.50,12.82,13.03,23085500,13.03
2015-11-16,13.00,13.43,12.81,12.93,29150800,12.93
2015-11-09,14.10,14.29,12.91,13.06,26090000,13.06
2015-11-02,14.69,15.45,14.10,14.23,25347500,14.23
2015-10-26,14.18,15.02,13.61,14.81,27558200,14.81
2015-10-19,14.91,15.02,14.13,14.27,22280500,14.27
2015-10-12,15.99,15.99,14.63,15.22,27228900,15.22
2015-10-05,15.03,16.200001,14.88,15.99,33599600,15.99
2015-09-28,14.45,15.20,14.21,14.77,23960300,14.77
2015-09-21,14.92,15.24,14.24,14.71,27472400,14.71
2015-09-14,14.42,15.54,14.25,14.62,27298400,14.62
2015-09-08,14.91,15.20,14.44,14.65,24054000,14.65
2015-08-31,14.67,16.15,14.16,15.08,54434800,15.08
2015-08-24,12.62,15.03,12.37,14.88,47804000,14.88
2015-08-17,14.05,14.21,13.06,13.23,26189000,13.23
2015-08-10,14.52,14.99,13.98,13.99,21491400,13.99
2015-08-03,15.29,15.52,14.52,14.56,23935800,14.56
2015-07-27,15.81,16.450001,15.54,15.59,26646300,15.59
2015-07-20,16.93,17.08,15.86,16.030001,20459300,16.030001
2015-07-13,17.40,17.860001,16.780001,16.99,21691600,16.99
